route_id,route_long_name,stop_name
1010,Railway Station-D ⇆ Taj Nagar D,"Taj Nagar D, Hashmi Nagar, Malapura, Goudar Oni, Masjid, Ramana Gouda Cross, Shivaji Circle, Cbt-D, Court Circle, Yammikeri, Railway Station-D, Ganapathi Gudi"
1012,Taj Nagar D ⇆ CBT-D,"Cbt-D, Shivaji Circle, Ganapathi Gudi, Ramana Gouda Cross, Masjid, Goudar Oni, Malapura, Hashmi Nagar, Taj Nagar D"
1013-1,CBT-D ⇆ Nehru Nagar,"Cbt-D, Jubilee Circle, Lic, Kcd, Nayadu Girini, Saptapura, Jaya Nagar Cross, Sarwamangala Hospital, Parisara Bhavan, Srinagar Cross, Shivalaya, Ics College, Nehru Nagar Cross, Neharu Nagar 1St Stop, Nehru Nagar"
1013-2,Neharu Nagar ⇆ CBT-D,"Neharu Nagar, Neharu Nagar 1St Stop, Nehru Nagar Cross, Ics College, Shivalaya, Srinagar, Parisara Bhavan, Sarwamangala Hospital, Jaya Nagar Cross, Saptapura, K C D, Lic, Jubilee Circle, Anjuman Circle, Cbt-D"
1014,CBT-D ⇆ Pavate Nagar,"Cbt-D, Jubilee Circle, Lic, Kcd, Nayadu Girini, Saptapura, Jaya Nagar Cross, Sarwamangala Hospital, Parisara Bhavan, Srinagar, Womens Hostel, Girls Hostel, Pavate Nagar, Working Womens Hostel, K C D, Anjuman Circle"
1015,CBT-D ⇆ Radhakrishna Nagar,"Cbt-D, Jubilee Circle, Lic, Kcd, Nayadu Girini, Saptapura, Michigan Compound, Galagali Hospital, Sarwamangala Hospital, Parisara Bhavan, Srinagar Cross, Shivalaya, Radhakrishna Nagar, Srinagar, Naidu Girini, K C D"
1016,Sai Nagar-D ⇆ CBT-D,"Cbt-D, Jubilee Circle, Lic, Kcd, Nayadu Girini, Saptapura, Saptapura School, Shripadha Nagar, Sai Nagar 1St Stop, Sai Nagar-D, Shripada Nagar Cross, K C D"
1017,CBT-D ⇆ Kalyan Nagar,"Cbt-D, Jubilee Circle, Court Circle, Brindhavan, Head Post Office, Dc Office, Uday Hostel, Old Central School, Kariyyamma Temple, Barakotri, Barakotari Bridge, Navodhaya Nagar, Pavate Nagar, Bhala Balaga, Nisarga, Hanumanthaa Nagar Cross, Twok Quartz, 9Th Cross Kalyan Nagar, Kalyan Nagar, C B Nagar, Headpost Office"
1018,CBT-D ⇆ Anjana Nagar-D1,"Cbt-D, Jubilee Circle, Lic, Kcd, Dasanakoppa, Canara Colony, Banashankeri Nagar, Sai Nagar-D, Vinayaka Nagar Cross, Vinayaka Nagar D, Paper Mill, Kelgeri, Anjaneya School Stop, Kelageri Anjaneya 1St Stop, Anjana Nagar-D1, K C D"
1019,Sangolli Rayana Nagar ⇆ CBT-D,"Cbt-D, Jubilee Circle, Court Circle, Nttf, Hosa Yallapur Cross, Toll Naka - D, Modern Hall, Rajathagiri, Saraswathipura, Tejasvi Nagar Bridge, Tajesavi Nagar, Tejasvi Nagar Bus Stop, Sangolli Rayanna Nagar 1St Cross, Sangolli Rayana Nagar, Vijaya Bank-D"
102,Gokul ⇆ RLY 3RD Gate,"Gokul, Anjaneya Nagar, Gokul Cross, K L E College, Airport, B D K, Kec, Arjun Vihar Cross, Neharu Nagar Water Tank, Silver Town Cross, Manjunatha Nagar Cross, Basaveshwara Nagar Cross, Akshay Park, 2Nd Gate, 1St Gate, New Bus Stand-H, Rwh, Quarters, Bannigida, Hosur, Hubli Obs (Outside), Corporation-H, Railway Station-H, Rly 3Rd Gate, Hubli Obs (Inside)"
1020,Chaithanya Nagar ⇆ CBT-D,"Cbt-D, Jubilee Circle, Lic, K C D, Dasanakoppa Cross, Canara Colony, Kusuma Nagar, Banashankeri Nagar, Sai Nagar-D, Vinayaka Nagar Cross, Chaithanya Nagar Cross, Std Booth, Chaithanya Nagar"
1021,Vinayaka Nagar D ⇆ CBT-D,"Cbt-D, Jubilee Circle, Lic, K C D, Dasanakoppa Cross, Canara Colony, Kusuma Nagar, Banashankeri Nagar, Sai Nagar-D, Vinayaka Nagar Cross, Chaithanya Nagar Cross, Vinayaka Nagar D"
1024,CBT-D ⇆ Sampige Nagar,"Cbt-D, Jubilee Circle, Lic, K C D, Dasanakoppa Cross, Lic Quarters, Narayanapura, German Hospital, Jambagi Hospital, Bendre Bhavana, Sadhankeri, St Antony Circle, Vikas Nagar, Bgs School, Bendre Nagar, Sampige Nagar 1St Stop, Sampige Nagar 2Nd Stop, Basavareddy College, Sampige Nagar Cross, Sampige Nagar, Sampige Nagar 3Rd Stop"
1025-1,CBT-D ⇆ Railway Station-D,"Cbt-D, Jubilee Circle, Court Circle, Taluk Panchayat, Head Post Office, Yammikeri, Rama Mandira, Rms, Railway Station-D"
1025-2,Railway Station-D4 ⇆ CBT-D,"Railway Station-D4, Rms, K E Board, Yammikeri, Head Post Office, Taluk Panchayat, Court Circle, Jubilee Circle, Cbt-D"
1026,Bendre Nagar ⇆ Railway Station-D,"Railway Station-D, Rms, K E Board, Yammikeri, Head Post Office, Brindhavan, Court Circle, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D, Kvg Bank, Gtc, Gtc Cross Sd, Bgs School, Bendre Nagar, Corporation-D, Taluk Panchayat, Rama Mandira"
1027,Agri College ⇆ CBT-D,"Cbt-D, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D, Kvg Bank, J D Office, Gtc, Pepsi Factory, Dairy, Yattin Gudda Cross, Agri University Gate, Admission Office, Agri College"
1028-1,CBT-D ⇆ Shiridi Nagar D1,"Cbt-D, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D, Kvg Bank, J D Office, Gtc, Pepsi Factory, Dairy, Yattin Gudda Cross, Agri University Gate, Airtech, Basava Colony, Basava Nagar Colony 2Nd Stop, Gurukrupa Nagar, Shiridi Nagar Cross, Shiridi Nagar D1"
1028-2,Shiridi Nagar D2 ⇆ CBT-D,"Shiridi Nagar D2, Shiridi Nagar Cross, Gurukrupa Nagar, Basava Nagar Colony 2Nd Stop, Basava Colony, Airtech, Agri University Gate, Yattin Gudda Cross, Dairy, Pepsi Factory, Gtc, J D Office, Kvg Bank, New Bus Stand-D, New Sp Office, Mental Hospital, K C Park, Old Sp Office, Corporation-D, Cbt-D"
1029,Railway Station-D ⇆ Dharwad High Court,"Railway Station-D, Rms, K E Board, Yammikeri, Head Post Office, Brindhavan, Court Circle, Jubilee Circle, Old Sp Office, K C Park, Mental Hospital, New Sp Office, New Bus Stand-D, Kvg Bank, J D Office, Gtc, Pepsi Factory, Dairy, Yattin Gudda Cross, Agri University Gate, Airtech, Narendra Cross, K E B (Power Grid), Mummigatti 1St Cross, Mummigatti, Garag Cross, Tata Motors Gate, High Court Gate, Dharwad High Court, Rama Mandira"
103,Hosur Terminal ⇆ Byahatti,"Hosur Terminal, Obs Sh, Court Circle Sh, Keshwapur Sh, Madhura Colony Sh, Shabiri Nagar Cross Sh, Srinivas Garden, Oxford College, Durga Colony / Neeli Bangle, Ram Honda, Kusgal Siddharuda Matta, Kusgal Maruthi Nagar, Ms, Kusgal, Kusgal Plot, Furniture Factory, Halla, M/S L1, Byahatti 1St Stop, Byahatti 2Nd Stop, Byahatti, M/S L"
1030,New Bus Stand-D ⇆ Railway Station-D,"New Bus Stand-D, New Sp Office, Mental Hospital, K C Park, Old Sp Office, Jubilee Circle, Court Circle, Taluk Panchayat, Head Post Office, Yammikeri, Rama Mandira, Rms, Railway Station-D, K E Board, Brindhavan"
200A-1,CBT Hubballi - HD ⇆ Dharwad BRTS Terminal - HD,"Cbt Hubballi - Hd, Dr B R Ambedkar Circle 1 - Hd, Hdmc - Hd, Hubballi Central Bus Terminal - Hd, Hosur Cross - Hd, Hosur Regional Terminal - Hd, Kims - Hd, Vidyanagar - Hd, Bvb College - Hd, Unakal Cross - Hd, Unakal - Hd, Unakal Lake - Hd, Bairidevarakoppa - Hd, Shantinikethan - Hd, Apmc 3Rd Gate - Hd, Navanagar - Hd, Rto Office - Hd, Iskcon Temple - Hd, Rayapur - Hd, Kmf 1 - Hd, Sanjeevini Park-Hd, Navalur Railway Station - Hd, Sdm Medical College - Hd, Sattur - Hd, Lakamanahalli - Hd, Yalakki Shettar Cross-Hd, Gandhi Nagar - Hd, Vidyagiri - Hd, Toll Naka - Hd, Hosa Yallapur Cross - Hd, Nttf - Hd, Court Circle - Hd, Jubilee Circle - Hd, Dharwad Brts Terminal - Hd"
200A-2,Dharwad BRTS Terminal - DH ⇆ CBT Hubballi - DH,"Dharwad Brts Terminal - Dh, Jubilee Circle - Dh, Court Circle - Dh, Nttf - Dh, Hosa Yallapur Cross - Dh, Toll Naka - Dh, Vidyagiri - Dh, Gandhi Nagar - Dh, Yalakki Shettar Cross-Dh, Lakamanahalli - Dh, Sattur - Dh, Sdm Medical College - Dh, Navalur Railway Station - Dh, Sanjeevini Park-Dh, Kmf 1 - Dh, Rayapur - Dh, Iskcon Temple - Dh, Rto Office - Dh, Navanagar - Dh, Apmc 3Rd Gate - Dh, Shantinikethan - Dh, Bairidevarakoppa - Dh, Unakal Lake - Dh, Unakal - Dh, Unakal Cross - Dh, Bvb College - Dh, Vidyanagar - Dh, Kims - Dh, Hosur Regional Terminal - Dh, Hosur Cross - Dh, Hubballi Central Bus Terminal - Dh, Hdmc - Dh, Dr B R Ambedkar Circle - Dh, Cbt Hubballi - Dh"
