bus_no,route_name,stops_name_between_route
1002,CBT-D ⇆ Shivagiri,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Vivekananda Circle → Michigan Compound → Galagali Hospital → Bakery Stop → Manjunatha Colony → Shivagiri
1002R,Shivagiri ⇆ Cbt-D,Shivagiri → Manjunatha Colony → Bakery Stop → Galagali Hospital → Michigan Compound → Vivekananda Circle → Saptapura → Nayadu Girini → Kcd → Lic → Jubilee Circle → Cbt-D
1002,CBT-D ⇆ Shivagiri,Shivagiri → Manjunatha Colony → Bakery Stop → Galagali Hospital → Masjid → Jaya Nagar D → Patil Nursery → Vivekananda Circle → Saptapura → Naidu Girini → K C D → Lic → Jubilee Circle → Cbt-D
1002R,Cbt-D ⇆ Shivagiri,Cbt-D → Jubilee Circle → Lic → K C D → Naidu Girini → Saptapura → Vivekananda Circle → Patil Nursery → Jaya Nagar D → Masjid → Galagali Hospital → Bakery Stop → Manjunatha Colony → Shivagiri
1005,DWR SD ⇆ New Bus Stand-D,Dwr Sd → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D
1005R,New Bus Stand-D ⇆ Dwr Sd,New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Dwr Sd
1005,DWR SD ⇆ New Bus Stand-D,New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Dwr Sd
1005R,Dwr Sd ⇆ New Bus Stand-D,Dwr Sd → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D
1006,CBT-D ⇆ Banashri Nagar,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → Gtc → Gtc Cross Sd → Bgs School → Bendre Nagar → Banashri Nagar
1006R,Banashri Nagar ⇆ Cbt-D,Banashri Nagar → Bendre Nagar → Bgs School → Gtc Cross Sd → Gtc → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
1006,CBT-D ⇆ Banashri Nagar,Banashri Nagar → Bendre Nagar → Bgs School → Gtc Cross Sd → Gtc → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Corporation-D → Cbt-D
1006R,Cbt-D ⇆ Banashri Nagar,Cbt-D → Corporation-D → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → Gtc → Gtc Cross Sd → Bgs School → Bendre Nagar → Banashri Nagar
1008,Yattin Gudda ⇆ CBT-D,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Admission Office → Agri College → Yattin Gudda
1008R,Yattin Gudda ⇆ Cbt-D,Yattin Gudda → Agri College → Admission Office → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
1008,Yattin Gudda ⇆ CBT-D,Yattin Gudda → Agri College → Admission Office → Agri University Gate → Yattin Gudda Cross → Dairy → Pepsi Factory → Gtc → J D Office → Kvg Bank → New Bus Stand-D → New Sp Office → Mental Hospital → K C Park → Old Sp Office → Jubilee Circle → Cbt-D
1008R,Cbt-D ⇆ Yattin Gudda,Cbt-D → Jubilee Circle → Old Sp Office → K C Park → Mental Hospital → New Sp Office → New Bus Stand-D → Kvg Bank → J D Office → Gtc → Pepsi Factory → Dairy → Yattin Gudda Cross → Agri University Gate → Admission Office → Agri College → Yattin Gudda
1009,Railway Station-D ⇆ Madihal,Madihal → Siddharama Colony → Joshi Hall → Chidambar Seva Samiti → Murusavira Matta D → Depot Circle → Haveripete → Shivaji Circle → Cbt-D → Jubilee Circle → Court Circle → Head Post Office → Yammikeri → K E Board → Railway Station-D
1009R,Railway Station-D ⇆ Madihal,Railway Station-D → K E Board → Yammikeri → Head Post Office → Court Circle → Jubilee Circle → Cbt-D → Shivaji Circle → Haveripete → Depot Circle → Murusavira Matta D → Chidambar Seva Samiti → Joshi Hall → Siddharama Colony → Madihal
1009,Railway Station-D ⇆ Madihal,Railway Station-D → Rms → Yammikeri → Brindhavan → Kalabhawan → Cbt-D → Shivaji Circle → Haveripete → Depot Circle → Murusavira Matta D → Chidambar Seva Samiti → Joshi Hall → Siddharama Colony → Madihal
1009R,Madihal ⇆ Railway Station-D,Madihal → Siddharama Colony → Joshi Hall → Chidambar Seva Samiti → Murusavira Matta D → Depot Circle → Haveripete → Shivaji Circle → Cbt-D → Kalabhawan → Brindhavan → Yammikeri → Rms → Railway Station-D
100B,Dharwad BRTS Terminal - DH ⇆ Railway Station - DH,Dharwad Brts Terminal - Dh → Jubilee Circle - Dh → Court Circle - Dh → Nttf - Dh → Toll Naka - Dh → Gandhi Nagar - Dh → Sdm Medical College - Dh → Navanagar - Dh → Kims - Dh → Hosur Regional Terminal - Dh → Hosur Cross - Dh → Hubballi Central Bus Terminal - Dh → Hdmc - Dh → Dr B R Ambedkar Circle - Dh → Railway Station - Dh
100BR,Railway Station - Dh ⇆ Dharwad Brts Terminal - Dh,Railway Station - Dh → Dr B R Ambedkar Circle - Dh → Hdmc - Dh → Hubballi Central Bus Terminal - Dh → Hosur Cross - Dh → Hosur Regional Terminal - Dh → Kims - Dh → Navanagar - Dh → Sdm Medical College - Dh → Gandhi Nagar - Dh → Toll Naka - Dh → Nttf - Dh → Court Circle - Dh → Jubilee Circle - Dh → Dharwad Brts Terminal - Dh
100B,Railway Station - HD ⇆ Dharwad BRTS Terminal - HD,Railway Station - Hd → Dr B R Ambedkar Circle 1 - Hd → Hdmc - Hd → Hubballi Central Bus Terminal - Hd → Hosur Cross - Hd → Hosur Regional Terminal - Hd → Kims - Hd → Navanagar - Hd → Sdm Medical College - Hd → Gandhi Nagar - Hd → Toll Naka - Hd → Nttf - Hd → Court Circle - Hd → Jubilee Circle - Hd → Dharwad Brts Terminal - Hd
100BR,Dharwad Brts Terminal - Hd ⇆ Railway Station - Hd,Dharwad Brts Terminal - Hd → Jubilee Circle - Hd → Court Circle - Hd → Nttf - Hd → Toll Naka - Hd → Gandhi Nagar - Hd → Sdm Medical College - Hd → Navanagar - Hd → Kims - Hd → Hosur Regional Terminal - Hd → Hosur Cross - Hd → Hubballi Central Bus Terminal - Hd → Hdmc - Hd → Dr B R Ambedkar Circle 1 - Hd → Railway Station - Hd
101,Hosur Terminal ⇆ Bommasamudra,Bommasamudra → Bommasamudra 1St Stop → Bommasamudra Cross → Belgali → Belgali Govt School → Monkey Factory → Noolvi Cross → Noolvi → Adhurgunchi → Budurshingi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → Bankapur Chouk Sh → New English School Sh → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
101R,Hosur Terminal ⇆ Bommasamudra,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Budurshingi → Adhurgunchi → Noolvi → Noolvi Cross → Monkey Factory → Belgali Govt School → Belgali → Bommasamudra Cross → Bommasamudra 1St Stop → Bommasamudra
101,Hosur Terminal ⇆ Bommasamudra,Hosur Terminal → Obs Sh → Murusavira Matta Cross Sh → New English School Sh → Bankapur Chouk Sh → Bidnal Cross Sh → Gabbur Sh → Kundagol Cross → Budurshingi → Adhurgunchi → Noolvi → Noolvi Cross → Monkey Factory → Belgali Govt School → Belgali → Bommasamudra Cross → Bommasamudra 1St Stop → Bommasamudra
101R,Bommasamudra ⇆ Hosur Terminal,Bommasamudra → Bommasamudra 1St Stop → Bommasamudra Cross → Belgali → Belgali Govt School → Monkey Factory → Noolvi Cross → Noolvi → Adhurgunchi → Budurshingi → Kundagol Cross → Gabbur Sh → Bidnal Cross Sh → Bankapur Chouk Sh → New English School Sh → Murusavira Matta Cross Sh → Obs Sh → Hosur Terminal
1010,Railway Station-D ⇆ Taj Nagar D,Taj Nagar D → Hashmi Nagar → Malapura → Goudar Oni → Masjid → Ramana Gouda Cross → Shivaji Circle → Cbt-D → Court Circle → Yammikeri → Railway Station-D
1010R,Railway Station-D ⇆ Taj Nagar D,Railway Station-D → Yammikeri → Court Circle → Cbt-D → Shivaji Circle → Ramana Gouda Cross → Masjid → Goudar Oni → Malapura → Hashmi Nagar → Taj Nagar D
1010,Railway Station-D ⇆ Taj Nagar D,Railway Station-D → Yammikeri → Court Circle → Cbt-D → Shivaji Circle → Ganapathi Gudi → Ramana Gouda Cross → Masjid → Goudar Oni → Malapura → Hashmi Nagar → Taj Nagar D
1010R,Taj Nagar D ⇆ Railway Station-D,Taj Nagar D → Hashmi Nagar → Malapura → Goudar Oni → Masjid → Ramana Gouda Cross → Ganapathi Gudi → Shivaji Circle → Cbt-D → Court Circle → Yammikeri → Railway Station-D
1012,Taj Nagar D ⇆ CBT-D,Cbt-D → Shivaji Circle → Ganapathi Gudi → Ramana Gouda Cross → Masjid → Goudar Oni → Malapura → Hashmi Nagar → Taj Nagar D
1012R,Taj Nagar D ⇆ Cbt-D,Taj Nagar D → Hashmi Nagar → Malapura → Goudar Oni → Masjid → Ramana Gouda Cross → Ganapathi Gudi → Shivaji Circle → Cbt-D
1012,Taj Nagar D ⇆ CBT-D,Taj Nagar D → Hashmi Nagar → Malapura → Goudar Oni → Masjid → Ramana Gouda Cross → Shivaji Circle → Cbt-D
1012R,Cbt-D ⇆ Taj Nagar D,Cbt-D → Shivaji Circle → Ramana Gouda Cross → Masjid → Goudar Oni → Malapura → Hashmi Nagar → Taj Nagar D
1013,CBT-D ⇆ Nehru Nagar,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar Cross → Shivalaya → Ics College → Nehru Nagar Cross → Neharu Nagar 1St Stop → Nehru Nagar
1013R,Nehru Nagar ⇆ Cbt-D,Nehru Nagar → Neharu Nagar 1St Stop → Nehru Nagar Cross → Ics College → Shivalaya → Srinagar Cross → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → Nayadu Girini → Kcd → Lic → Jubilee Circle → Cbt-D
1013,Neharu Nagar ⇆ CBT-D,Neharu Nagar → Neharu Nagar 1St Stop → Nehru Nagar Cross → Ics College → Shivalaya → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1013R,Cbt-D ⇆ Neharu Nagar,Cbt-D → Anjuman Circle → Jubilee Circle → Lic → K C D → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Shivalaya → Ics College → Nehru Nagar Cross → Neharu Nagar 1St Stop → Neharu Nagar
1014,CBT-D ⇆ Pavate Nagar,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Womens Hostel → Girls Hostel → Pavate Nagar
1014R,Pavate Nagar ⇆ Cbt-D,Pavate Nagar → Girls Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → Nayadu Girini → Kcd → Lic → Jubilee Circle → Cbt-D
1014,CBT-D ⇆ Pavate Nagar,Pavate Nagar → Working Womens Hostel → Womens Hostel → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Jaya Nagar Cross → Saptapura → K C D → Lic → Jubilee Circle → Anjuman Circle → Cbt-D
1014R,Cbt-D ⇆ Pavate Nagar,Cbt-D → Anjuman Circle → Jubilee Circle → Lic → K C D → Saptapura → Jaya Nagar Cross → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Womens Hostel → Working Womens Hostel → Pavate Nagar
1015,CBT-D ⇆ Radhakrishna Nagar,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Michigan Compound → Galagali Hospital → Sarwamangala Hospital → Parisara Bhavan → Srinagar Cross → Shivalaya → Radhakrishna Nagar
1015R,Radhakrishna Nagar ⇆ Cbt-D,Radhakrishna Nagar → Shivalaya → Srinagar Cross → Parisara Bhavan → Sarwamangala Hospital → Galagali Hospital → Michigan Compound → Saptapura → Nayadu Girini → Kcd → Lic → Jubilee Circle → Cbt-D
1015,CBT-D ⇆ Radhakrishna Nagar,Radhakrishna Nagar → Srinagar → Parisara Bhavan → Sarwamangala Hospital → Galagali Hospital → Michigan Compound → Saptapura → Naidu Girini → K C D → Lic → Jubilee Circle → Cbt-D
1015R,Cbt-D ⇆ Radhakrishna Nagar,Cbt-D → Jubilee Circle → Lic → K C D → Naidu Girini → Saptapura → Michigan Compound → Galagali Hospital → Sarwamangala Hospital → Parisara Bhavan → Srinagar → Radhakrishna Nagar
1016,Sai Nagar-D ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → Kcd → Nayadu Girini → Saptapura → Saptapura School → Shripadha Nagar → Sai Nagar 1St Stop → Sai Nagar-D
1016R,Sai Nagar-D ⇆ Cbt-D,Sai Nagar-D → Sai Nagar 1St Stop → Shripadha Nagar → Saptapura School → Saptapura → Nayadu Girini → Kcd → Lic → Jubilee Circle → Cbt-D
1016,Sai Nagar-D ⇆ CBT-D,Sai Nagar-D → Sai Nagar 1St Stop → Shripadha Nagar → Shripada Nagar Cross → Saptapura School → Saptapura → K C D → Lic → Jubilee Circle → Cbt-D
1016R,Cbt-D ⇆ Sai Nagar-D,Cbt-D → Jubilee Circle → Lic → K C D → Saptapura → Saptapura School → Shripada Nagar Cross → Shripadha Nagar → Sai Nagar 1St Stop → Sai Nagar-D
1017,CBT-D ⇆ Kalyan Nagar,Cbt-D → Jubilee Circle → Court Circle → Brindhavan → Head Post Office → Dc Office → Uday Hostel → Old Central School → Kariyyamma Temple → Barakotri → Barakotari Bridge → Navodhaya Nagar → Pavate Nagar → Bhala Balaga → Nisarga → Hanumanthaa Nagar Cross → Twok Quartz → 9Th Cross Kalyan Nagar → Kalyan Nagar
1017R,Kalyan Nagar ⇆ Cbt-D,Kalyan Nagar → 9Th Cross Kalyan Nagar → Twok Quartz → Hanumanthaa Nagar Cross → Nisarga → Bhala Balaga → Pavate Nagar → Navodhaya Nagar → Barakotari Bridge → Barakotri → Kariyyamma Temple → Old Central School → Uday Hostel → Dc Office → Head Post Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1017,CBT-D ⇆ Kalyan Nagar,Kalyan Nagar → 9Th Cross Kalyan Nagar → Twok Quartz → Hanumanthaa Nagar Cross → Nisarga → Bhala Balaga → Pavate Nagar → Navodhaya Nagar → Barakotari Bridge → Barakotri → Kariyyamma Temple → Old Central School → Uday Hostel → C B Nagar → Headpost Office → Brindhavan → Court Circle → Jubilee Circle → Cbt-D
1017R,Cbt-D ⇆ Kalyan Nagar,Cbt-D → Jubilee Circle → Court Circle → Brindhavan → Headpost Office → C B Nagar → Uday Hostel → Old Central School → Kariyyamma Temple → Barakotri → Barakotari Bridge → Navodhaya Nagar → Pavate Nagar → Bhala Balaga → Nisarga → Hanumanthaa Nagar Cross → Twok Quartz → 9Th Cross Kalyan Nagar → Kalyan Nagar
1018,CBT-D ⇆ Anjana Nagar-D1,Cbt-D → Jubilee Circle → Lic → Kcd → Dasanakoppa → Canara Colony → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Vinayaka Nagar D → Paper Mill → Kelgeri → Anjaneya School Stop → Kelageri Anjaneya 1St Stop → Anjana Nagar-D1
1018R,Anjana Nagar-D1 ⇆ Cbt-D,Anjana Nagar-D1 → Kelageri Anjaneya 1St Stop → Anjaneya School Stop → Kelgeri → Paper Mill → Vinayaka Nagar D → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Canara Colony → Dasanakoppa → Kcd → Lic → Jubilee Circle → Cbt-D
1018,CBT-D ⇆ Anjana Nagar-D1,Anjana Nagar-D1 → Kelageri Anjaneya 1St Stop → Anjaneya School Stop → Kelgeri → Paper Mill → Vinayaka Nagar Cross → Vinayaka Nagar D → Sai Nagar-D → Banashankeri Nagar → Canara Colony → Dasanakoppa → K C D → Lic → Jubilee Circle → Cbt-D
1018R,Cbt-D ⇆ Anjana Nagar-D1,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa → Canara Colony → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar D → Vinayaka Nagar Cross → Paper Mill → Kelgeri → Anjaneya School Stop → Kelageri Anjaneya 1St Stop → Anjana Nagar-D1
1019,Sangolli Rayana Nagar ⇆ CBT-D,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Tajesavi Nagar → Tejasvi Nagar Bus Stop → Sangolli Rayanna Nagar 1St Cross → Sangolli Rayana Nagar
1019R,Sangolli Rayana Nagar ⇆ Cbt-D,Sangolli Rayana Nagar → Sangolli Rayanna Nagar 1St Cross → Tejasvi Nagar Bus Stop → Tajesavi Nagar → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1019,Sangolli Rayana Nagar ⇆ CBT-D,Sangolli Rayana Nagar → Sangolli Rayanna Nagar 1St Cross → Tejasvi Nagar Bus Stop → Tejasvi Nagar Bridge → Saraswathipura → Rajathagiri → Vijaya Bank-D → Modern Hall → Toll Naka - D → Hosa Yallapur Cross → Nttf → Court Circle → Jubilee Circle → Cbt-D
1019R,Cbt-D ⇆ Sangolli Rayana Nagar,Cbt-D → Jubilee Circle → Court Circle → Nttf → Hosa Yallapur Cross → Toll Naka - D → Modern Hall → Vijaya Bank-D → Rajathagiri → Saraswathipura → Tejasvi Nagar Bridge → Tejasvi Nagar Bus Stop → Sangolli Rayanna Nagar 1St Cross → Sangolli Rayana Nagar
102,Gokul ⇆ RLY 3RD Gate,Gokul → Anjaneya Nagar → Gokul Cross → K L E College → Airport → B D K → Kec → Arjun Vihar Cross → Neharu Nagar Water Tank → Silver Town Cross → Manjunatha Nagar Cross → Basaveshwara Nagar Cross → Akshay Park → 2Nd Gate → 1St Gate → New Bus Stand-H → Rwh → Quarters → Bannigida → Hosur → Hubli Obs (Outside) → Corporation-H → Railway Station-H → Rly 3Rd Gate
102R,Rly 3Rd Gate ⇆ Gokul,Rly 3Rd Gate → Railway Station-H → Corporation-H → Hubli Obs (Outside) → Hosur → Bannigida → Quarters → Rwh → New Bus Stand-H → 1St Gate → 2Nd Gate → Akshay Park → Basaveshwara Nagar Cross → Manjunatha Nagar Cross → Silver Town Cross → Neharu Nagar Water Tank → Arjun Vihar Cross → Kec → B D K → Airport → K L E College → Gokul Cross → Anjaneya Nagar → Gokul
102,Gokul ⇆ RLY 3RD Gate,Rly 3Rd Gate → Railway Station-H → Corporation-H → Hubli Obs (Inside) → Bannigida → Quarters → Rwh → New Bus Stand-H → 1St Gate → 2Nd Gate → Akshay Park → Basaveshwara Nagar Cross → Manjunatha Nagar Cross → Silver Town Cross → Neharu Nagar Water Tank → Arjun Vihar Cross → Kec → B D K → Airport → K L E College → Gokul Cross → Anjaneya Nagar → Gokul
102R,Gokul ⇆ Rly 3Rd Gate,Gokul → Anjaneya Nagar → Gokul Cross → K L E College → Airport → B D K → Kec → Arjun Vihar Cross → Neharu Nagar Water Tank → Silver Town Cross → Manjunatha Nagar Cross → Basaveshwara Nagar Cross → Akshay Park → 2Nd Gate → 1St Gate → New Bus Stand-H → Rwh → Quarters → Bannigida → Hubli Obs (Inside) → Corporation-H → Railway Station-H → Rly 3Rd Gate
1020,Chaithanya Nagar ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Canara Colony → Kusuma Nagar → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Chaithanya Nagar Cross → Std Booth → Chaithanya Nagar
1020R,Chaithanya Nagar ⇆ Cbt-D,Chaithanya Nagar → Std Booth → Chaithanya Nagar Cross → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Kusuma Nagar → Canara Colony → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1020,Chaithanya Nagar ⇆ CBT-D,Chaithanya Nagar → Std Booth → Chaithanya Nagar Cross → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Kusuma Nagar → Canara Colony → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1020R,Cbt-D ⇆ Chaithanya Nagar,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Canara Colony → Kusuma Nagar → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Chaithanya Nagar Cross → Std Booth → Chaithanya Nagar
1021,Vinayaka Nagar D ⇆ CBT-D,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Canara Colony → Kusuma Nagar → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Chaithanya Nagar Cross → Vinayaka Nagar D
1021R,Vinayaka Nagar D ⇆ Cbt-D,Vinayaka Nagar D → Chaithanya Nagar Cross → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Kusuma Nagar → Canara Colony → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1021,Vinayaka Nagar D ⇆ CBT-D,Vinayaka Nagar D → Chaithanya Nagar Cross → Vinayaka Nagar Cross → Sai Nagar-D → Banashankeri Nagar → Kusuma Nagar → Canara Colony → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1021R,Cbt-D ⇆ Vinayaka Nagar D,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Canara Colony → Kusuma Nagar → Banashankeri Nagar → Sai Nagar-D → Vinayaka Nagar Cross → Chaithanya Nagar Cross → Vinayaka Nagar D
1024,CBT-D ⇆ Sampige Nagar,Cbt-D → Jubilee Circle → Lic → K C D → Dasanakoppa Cross → Lic Quarters → Narayanapura → German Hospital → Jambagi Hospital → Bendre Bhavana → Sadhankeri → St Antony Circle → Vikas Nagar → Bgs School → Bendre Nagar → Sampige Nagar 1St Stop → Sampige Nagar 2Nd Stop → Basavareddy College → Sampige Nagar Cross → Sampige Nagar
1024R,Sampige Nagar ⇆ Cbt-D,Sampige Nagar → Sampige Nagar Cross → Basavareddy College → Sampige Nagar 2Nd Stop → Sampige Nagar 1St Stop → Bendre Nagar → Bgs School → Vikas Nagar → St Antony Circle → Sadhankeri → Bendre Bhavana → Jambagi Hospital → German Hospital → Narayanapura → Lic Quarters → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
1024,CBT-D ⇆ Sampige Nagar,Sampige Nagar → Sampige Nagar 3Rd Stop → Sampige Nagar 1St Stop → Bendre Nagar → Bgs School → Vikas Nagar → St Antony Circle → Sadhankeri → Bendre Bhavana → Jambagi Hospital → German Hospital → Narayanapura → Lic Quarters → Dasanakoppa Cross → K C D → Lic → Jubilee Circle → Cbt-D
